Title,SKU,xxx-Color,Width,Price,xxx-Images,xxx-
Bolton 03mm,BOLTON-03MM,,03mm,335,,
Bolton 04mm,BOLTON-04MM,,04mm,335,,
Bolton 05mm,BOLTON-05MM,,05mm,335,,
Bolton 06mm,BOLTON-04MM,,06mm,335,,
Bolton 07mm,BOLTON-06MM,,07mm,335,,
Bolton 08mm,BOLTON-07MM,,08mm,335,,
Bartlett 1 05mm,BARTLETT-1-05MM,,05mm,340,,
Bartlett 1 06mm,BARTLETT-1-06MM,,06mm,340,,
Bartlett 1 07mm,BARTLETT-1-07MM,,07mm,340,,
Bartlett 1 08mm,BARTLETT-1-08MM,,08mm,340,,
Bartlett 1 09mm,BARTLETT-1-09MM,,09mm,365,,
Bartlett 1 10mm,BARTLETT-1-10MM,,10mm,365,,
Bartlett 1 11mm,BARTLETT-1-11MM,,11mm,365,,
Bartlett 1 12mm,BARTLETT-1-12MM,,12mm,365,,
Birken 2 04mm,BIRKEN-2-04MM,,04mm,470,,
Birken 2 05mm,BIRKEN-2-05MM,,05mm,470,,
Birken 2 06mm,BIRKEN-2-06MM,,06mm,470,,
Birken 2 07mm,BIRKEN-2-07MM,,07mm,470,,
Birken 2 08mm,BIRKEN-2-08MM,,08mm,470,,
Birken 2 09mm,BIRKEN-2-09MM,,09mm,520,,
Birken 2 10mm,BIRKEN-2-10MM,,10mm,520,,
Birken 2 11mm,BIRKEN-2-11MM,,11mm,520,,
Birken 2 12mm,BIRKEN-2-12MM,,12mm,520,,
